City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,vila velha,-20.3297,-40.2925,294.23,96,100,2.57,BR,1722641547
185,reggane,26.7158,0.1714,309.56,9,0,5.49,DZ,1722641548
186,trairi,-3.2778,-39.2689,297.88,80,35,4.84,BR,1722641549
187,topes de collantes,21.9139,-80.0189,295.53,88,100,1.84,CU,1722641550
188,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,68,75,0.0,RU,1722641552
189,broome,42.2506,-75.833,296.29,84,97,1.79,US,1722641553
190,manturovo,58.3353,44.7619,285.98,98,73,2.19,RU,1722641554
191,qaqortoq,60.7167,-46.0333,280.66,80,0,0.43,GL,1722641555
192,sinabang,2.4803,96.3801,298.41,90,100,3.08,ID,1722641557
193,whitecourt,54.1502,-115.6855,297.73,35,40,1.03,CA,1722641558
194,mount isa,-20.7333,139.5,293.02,42,0,3.6,AU,1722641559
195,yellowknife,62.456,-114.3525,291.71,53,20,5.14,CA,1722641560
196,new norfolk,-42.7826,147.0587,283.66,88,100,0.75,AU,1722641561
197,bodo,67.28,14.405,289.14,92,40,1.03,NO,1722641563
198,tura,25.5198,90.2201,296.55,98,100,2.54,IN,1722641564
199,roma,43.2128,-75.4557,295.66,97,100,0.45,US,1722641565
200,coquimbo,-29.9533,-71.3436,287.0,100,40,4.12,CL,1722641566
201,bilibino,68.0546,166.4372,285.15,48,100,3.85,RU,1722641567
202,nadym,65.5333,72.5167,290.84,72,52,4.3,RU,1722641569
203,novoarkhanhel's'k,48.658,30.8182,292.56,43,82,2.73,UA,1722641570
204,bathsheba,13.2167,-59.5167,302.49,79,40,8.23,BB,1722641571
205,kathu,7.9178,98.3332,302.98,83,99,1.91,TH,1722641572
206,nacala,-14.5428,40.6728,291.58,94,0,3.03,MZ,1722641573
207,severo-yeniseyskiy,60.3725,93.0408,285.48,95,12,1.11,RU,1722641575
208,badger,64.8,-147.5333,284.29,90,100,5.66,US,1722641473
209,isangel,-19.55,169.2667,292.69,84,100,7.41,VU,1722641577
210,i-n-salah,27.1935,2.4607,306.66,12,0,4.67,DZ,1722641578
211,kokemaki,61.2565,22.3564,289.03,98,99,2.28,FI,1722641579
212,ballina,-28.8667,153.5667,289.14,68,36,5.13,AU,1722641581
213,togur,58.3631,82.8265,289.59,88,17,2.41,RU,1722641582
214,kingston,17.997,-76.7936,302.68,79,20,4.63,JM,1722641583
215,shalya,57.2471,58.7298,285.89,99,100,2.15,RU,1722641584
216,rongelap,11.1635,166.8941,301.63,77,1,3.26,MH,1722641585
217,candolim,15.5181,73.7626,300.07,84,100,8.22,IN,1722641587
218,kapa'a,22.0752,-159.319,302.14,66,0,4.12,US,1722641588
219,igarka,67.4667,86.5833,288.42,93,100,3.03,RU,1722641589
220,severobaykal'sk,55.65,109.3167,289.4,60,100,1.42,RU,1722641590
221,punta arenas,-53.15,-70.9167,277.21,87,100,5.14,CL,1722641591
222,dalaba,10.7,-12.25,290.59,98,100,1.67,GN,1722641593
223,uturoa,-16.7333,-151.4333,297.13,67,50,5.17,PF,1722641594
224,tabou,4.423,-7.3528,297.27,83,100,4.61,CI,1722641595
225,cabo san lucas,22.8909,-109.9124,308.76,51,20,5.14,MX,1722641596
226,chonchi,-42.6128,-73.8092,280.71,94,100,4.05,CL,1722641597
227,ust-nera,64.5667,143.2,283.73,60,76,1.0,RU,1722641599
228,baker city,44.7749,-117.8344,314.99,13,0,2.57,US,1722641488
